upc14,upc12,brand,name
8.8839E+11,8.8839E+11,Maxpresso,Coffee Crm&sugar 50pc
22944209257,22944209257,Paramount,Coffee Crml Appl Fall N L
7.20103E+11,7.20103E+11,Perfect Potfuls,Coffee Crnbrry Crm Brulee
6.8238E+11,6.8238E+11,Lofbergs,Coffee Dark Roast
28000544652,28000544652,Nescafe,Coffee Dcf Clssco
72003054083,72003054083,Stewarts,Coffee Decaf
33199124028,33199124028,White Castle,Coffee Decaf
74471112012,74471112012,Medaglia D Oro,Coffee Decaf Can
72003052515,72003052515,Stewarts,Coffee Decaf Grd
8.92157E+11,8.92157E+11,Higher Ground,Coffee Decaf House
7.32148E+11,7.32148E+11,Puroast,Coffee Decaf Sngl House
22944208892,22944208892,Paramount,Coffee Dkrst Chrstms Prk
28000360504,28000360504,Nescafe,Coffee Dolca 100
8.5456E+11,8.5456E+11,High Brew,Coffee Double Espresso
70594104057,70594104057,S & W,Coffee Drip Clmbn Decaf
7.33411E+11,7.33411E+11,Illycaffe,Coffee Drip Drk Rst
8.5456E+11,8.5456E+11,High Brew,Coffee Drk Choc Mocha
27946064194,27946064194,Fairwinds,Coffee Egg Nog Grn Pak
71072030011,71072030011,Alessi,Coffee Espresso
71072030035,71072030035,Alessi,Coffee Espresso Decaf
7.70009E+11,7.70009E+11,If You Care,Coffee Filter Basket 8in
7.70009E+11,7.70009E+11,If You Care,Coffee Filter No2 Dsp 60p
7.70009E+11,7.70009E+11,If You Care,Coffee Filter No2&4 Dsp 52pc
7.70009E+11,7.70009E+11,If You Care,Coffee Filter No4 Dsp 48pc
7.70009E+11,7.70009E+11,If You Care,Coffee Filter No6
55437629096,55437629096,Melitta,Coffee Fltr Brwn
7.70009E+11,7.70009E+11,If You Care,Coffee Fltr Bskt 8in Dsp
8.52748E+11,8.52748E+11,Eko Brands Llc,Coffee Fltr Dsp 24pc
8.52748E+11,8.52748E+11,Eko Brands Llc,Coffee Fltr Dsp 48pc
8.52748E+11,8.52748E+11,Eko Brands Llc,Coffee Fltr Stnlss Steel
8.52748E+11,8.52748E+11,Eko Brands Llc,Coffee Fltr Stnlss Stl Dsp 24p
55437622714,55437622714,Melitta,Coffee Fltr Wht No2
7.58313E+11,7.58313E+11,Flavour Creations,Coffee Flvr Clpstrp 2pc 24pc
72003554927,72003554927,Stewarts,Coffee Flvrng Lt Fr Van Nut
77324079593,77324079593,San Francisco Bay,Coffee Fog Chaser
79471131759,79471131759,Galil,Coffee Freeze Dried
44064823328,44064823328,Cafe Du Mond,Coffee French Roast
75157068814,75157068814,Discoveries,Coffee French Roast
77324039108,77324039108,San Francisco Bay,Coffee French Vanilla
35700018703,35700018703,Community Coffee,Coffee French Vnlla
75157078615,75157078615,First Colony,Coffee Frtrd Gutemln Sunst Ble
75157078622,75157078622,First Colony,Coffee Frtrd Pruvn Mtn Roast O
7.57922E+11,7.57922E+11,Mount Hagen,Coffee Frz Dried Decaf Org
7.57922E+11,7.57922E+11,Mount Hagen,Coffee Frz Dried Org
27946064286,27946064286,Fairwinds,Coffee Gingerbrd Spice Go
74265003304,74265003304,Sultan,Coffee Greek Lite Roast
63209009922,63209009922,Tim Horton,Coffee Grnd 100% Arabica
24515008177,24515008177,Kahlua,Coffee Grnd 2flvr Dsp 36p
41953128373,41953128373,Lavazza,Coffee Grnd 2vrty Dsp 24p
6.9143E+11,6.9143E+11,Tim Hortons,Coffee Grnd 2vrty Dsp 36p
24515165955,24515165955,Hells Kitchen,Coffee Grnd 3 Star Blnd
8.5994E+11,8.5994E+11,Marley Coffee,Coffee Grnd 3vrty Dsp 32pc
7.51228E+11,7.51228E+11,Organic Coffee Co,Coffee Grnd 4flvr Dsp 48p
8.9943E+11,8.9943E+11,Copper Moon,Coffee Grnd 4flvr Dsp 48pc
24515008719,24515008719,Kahlua,Coffee Grnd 4vrty Dsp 36pc
8.33559E+11,8.33559E+11,Reggies Roast,Coffee Grnd 4vrty Dsp 48pc
35700018208,35700018208,Community Coffee,Coffee Grnd Brkfast Blnd
77324770148,77324770148,San Francisco Bay,Coffee Grnd Brkfst Blend
7.67013E+11,7.67013E+11,Black Mountain Gold,Coffee Grnd Cafe Amaretto
24515168284,24515168284,Emerils,Coffee Grnd Carmel Bread
24515061592,24515061592,Moon Pie,Coffee Grnd Choc
24515108532,24515108532,Entenmanns,Coffee Grnd Choc Donut
8.9943E+11,8.9943E+11,Copper Moon,Coffee Grnd Cinn Spc
8.9943E+11,8.9943E+11,Copper Moon,Coffee Grnd Clmbn Blnd
8.16095E+11,8.16095E+11,Dallmayr,Coffee Grnd Clssc Dsp 48p
7.67013E+11,7.67013E+11,Black Mountain Gold,Coffee Grnd Cnnmn Crmb Ca
24515108518,24515108518,Entenmanns,Coffee Grnd Cnnmn Crmb Ca
8.56063E+11,8.56063E+11,Verena Street,Coffee Grnd Cow Tipper
35700018154,35700018154,Community Coffee,Coffee Grnd Dark Rst
74265003298,74265003298,Sultan,Coffee Grnd Dark Turkish
8.5994E+11,8.5994E+11,Marley Coffee,Coffee Grnd Dcf Smmr Down
6.46783E+11,6.46783E+11,Dallmayr,Coffee Grnd Decaf
35700018987,35700018987,Community Coffee,Coffee Grnd Decaf
63209009908,63209009908,Tim Horton,Coffee Grnd Decaf 100% Ab
7.33411E+11,7.33411E+11,Illycaffe,Coffee Grnd Decaf Reglr
77324770988,77324770988,San Francisco Bay,Coffee Grnd Dsp 48pc
41953128366,41953128366,Lavazza,Coffee Grnd Esprsso Dsp 24pc
24515165962,24515165962,Hells Kitchen,Coffee Grnd Exec Chfs Bln
77324770599,77324770599,San Francisco Bay,Coffee Grnd Fog Chaser
7.67013E+11,7.67013E+11,Black Mountain Gold,Coffee Grnd Frnch Rst
24515168307,24515168307,Emerils,Coffee Grnd Frnch Van Kic
63209069773,63209069773,Tim Horton,Coffee Grnd Frnch Vanilla
7.67013E+11,7.67013E+11,Black Mountain Gold,Coffee Grnd Frnch Vanla
7.51228E+11,7.51228E+11,Organic Coffee Co,Coffee Grnd Ft Brkfst Org
7.51228E+11,7.51228E+11,Organic Coffee Co,Coffee Grnd Ft Decaf Goril Org
7.51228E+11,7.51228E+11,Organic Coffee Co,Coffee Grnd Ft French Org
7.51228E+11,7.51228E+11,Organic Coffee Co,Coffee Grnd Ft Rain Frst Blend
